temperature,timestamp
15.19,"2017-12-06 13:19:35"
15.19,"2017-12-06 13:19:40"
15.19,"2017-12-06 13:19:45"
15.19,"2017-12-06 13:19:50"
15.19,"2017-12-06 13:19:55"
15.19,"2017-12-06 13:20:00"
15.19,"2017-12-06 13:20:05"
15.19,"2017-12-06 13:20:10"
15.19,"2017-12-06 13:20:15"
15.19,"2017-12-06 13:20:20"
15.19,"2017-12-06 13:20:25"
15.19,"2017-12-06 13:20:30"
15.19,"2017-12-06 13:20:35"
15.19,"2017-12-06 13:20:40"
15.19,"2017-12-06 13:20:45"
15.19,"2017-12-06 13:20:50"
15.19,"2017-12-06 13:20:55"
15.19,"2017-12-06 13:21:00"
15.19,"2017-12-06 13:21:05"
15.19,"2017-12-06 13:21:10"
15.19,"2017-12-06 13:21:15"
15.19,"2017-12-06 13:21:20"
15.19,"2017-12-06 13:21:25"
15.19,"2017-12-06 13:21:30"
15.19,"2017-12-06 13:21:35"
15.19,"2017-12-06 13:21:40"
15.19,"2017-12-06 13:21:45"
15.19,"2017-12-06 13:21:50"
15.19,"2017-12-06 13:21:55"
15.19,"2017-12-06 13:22:00"
15.19,"2017-12-06 13:22:05"
16.31,"2017-12-06 13:22:10"
20.94,"2017-12-06 13:22:15"
23.44,"2017-12-06 13:22:20"
23.44,"2017-12-06 13:22:25"
25,"2017-12-06 13:22:30"
25.88,"2017-12-06 13:22:35"
18.19,"2017-12-06 13:22:40"
16.69,"2017-12-06 13:22:45"
16.06,"2017-12-06 13:22:50"
16.06,"2017-12-06 13:22:55"
15.69,"2017-12-06 13:23:00"
15.56,"2017-12-06 13:23:05"
15.44,"2017-12-06 13:23:10"
15.38,"2017-12-06 13:23:15"
15.38,"2017-12-06 13:23:20"
15.31,"2017-12-06 13:23:25"
15.31,"2017-12-06 13:23:30"
15.31,"2017-12-06 13:23:35"
15.31,"2017-12-06 13:23:41"
15.31,"2017-12-06 13:23:46"
15.25,"2017-12-06 13:23:51"
15.25,"2017-12-06 13:23:56"
15.25,"2017-12-06 13:24:01"
15.25,"2017-12-06 13:24:06"
15.25,"2017-12-06 13:24:11"
15.25,"2017-12-06 13:24:16"
15.25,"2017-12-06 13:24:21"
15.25,"2017-12-06 13:24:26"
15.25,"2017-12-06 13:24:31"
15.25,"2017-12-06 13:24:36"
15.25,"2017-12-06 13:24:41"
15.25,"2017-12-06 13:24:46"
15.25,"2017-12-06 13:24:51"
15.31,"2017-12-06 13:24:56"
15.31,"2017-12-06 13:25:01"
15.31,"2017-12-06 13:25:06"
15.31,"2017-12-06 13:25:11"
15.25,"2017-12-06 13:25:16"
15.25,"2017-12-06 13:25:21"
15.25,"2017-12-06 13:25:26"
15.25,"2017-12-06 13:25:31"
15.25,"2017-12-06 13:25:36"
15.25,"2017-12-06 13:25:41"
15.25,"2017-12-06 13:25:46"
15.25,"2017-12-06 13:25:51"
15.25,"2017-12-06 13:25:56"
15.25,"2017-12-06 13:26:01"
15.25,"2017-12-06 13:26:06"
15.25,"2017-12-06 13:26:11"
15.25,"2017-12-06 13:26:16"
15.25,"2017-12-06 13:26:21"
15.19,"2017-12-06 13:26:26"
15.19,"2017-12-06 13:26:31"
15.19,"2017-12-06 13:26:36"
15.19,"2017-12-06 13:26:41"
15.19,"2017-12-06 13:26:46"
15.19,"2017-12-06 13:26:51"
15.19,"2017-12-06 13:26:56"
15.19,"2017-12-06 13:27:01"
15.19,"2017-12-06 13:27:06"
15.19,"2017-12-06 13:27:11"
15.19,"2017-12-06 13:27:16"
15.19,"2017-12-06 13:27:21"
15.19,"2017-12-06 13:27:26"
15.19,"2017-12-06 13:27:31"
15.19,"2017-12-06 13:27:36"
15.19,"2017-12-06 13:27:41"
15.19,"2017-12-06 13:27:46"
15.19,"2017-12-06 13:27:51"
15.19,"2017-12-06 13:27:56"
15.19,"2017-12-06 13:28:01"
15.25,"2017-12-06 13:28:06"
15.25,"2017-12-06 13:28:11"
15.25,"2017-12-06 13:28:16"
15.25,"2017-12-06 13:28:21"
15.25,"2017-12-06 13:28:26"
15.25,"2017-12-06 13:28:31"
15.25,"2017-12-06 13:28:36"
15.25,"2017-12-06 13:28:41"
15.25,"2017-12-06 13:28:46"
15.25,"2017-12-06 13:28:51"
15.25,"2017-12-06 13:28:56"
15.25,"2017-12-06 13:29:01"
15.25,"2017-12-06 13:29:06"
15.25,"2017-12-06 13:29:11"
15.25,"2017-12-06 13:29:16"
15.25,"2017-12-06 13:29:22"
15.25,"2017-12-06 13:29:27"
15.25,"2017-12-06 13:29:32"
15.25,"2017-12-06 13:29:37"
15.25,"2017-12-06 13:29:42"
15.25,"2017-12-06 13:29:47"
15.25,"2017-12-06 13:29:52"
15.25,"2017-12-06 13:29:57"
15.25,"2017-12-06 13:30:02"
15.25,"2017-12-06 13:30:07"
15.25,"2017-12-06 13:30:12"
15.25,"2017-12-06 13:30:17"
15.25,"2017-12-06 13:30:22"
15.25,"2017-12-06 13:30:27"
15.31,"2017-12-06 13:30:32"
15.31,"2017-12-06 13:30:37"
15.25,"2017-12-06 13:30:42"
15.31,"2017-12-06 13:30:47"
15.31,"2017-12-06 13:30:52"
15.25,"2017-12-06 13:30:57"
